abc1,abc2,abc3,abc4,Date,SI,OI
-0.00963852,-0.008321962,-0.004870524,-0.003162689,11/04/2006,-0.002416216,0.019671
-0.118998975,-0.145022578,-0.161872461,-0.17290837,18/04/2006,0.037963708,0.01514
0.086261093,0.101964279,0.108549414,0.112981844,25/04/2006,0.006169437,0.014955
-0.014266308,-0.014991472,-0.015387756,-0.017141923,2/05/2006,0.013445723,0.074117
0.024436953,0.020779516,0.018649022,0.018207544,9/05/2006,-0.007029138,-0.000981
-0.109956223,-0.119953037,-0.121304511,-0.119189901,16/05/2006,-0.00598247,-0.021993
0.136663421,0.170230298,0.17818553,0.174070586,23/05/2006,-0.018311847,-0.073551
-0.101382853,-0.106916012,-0.109351539,-0.106594167,30/05/2006,-0.007273112,0.023025
0.000983312,0.000972462,0.000882307,0.000699065,6/06/2006,-0.005561256,0.025841
0.006138794,0.004105312,0.005098205,0.006182551,13/06/2006,-0.006065496,0.000144
0.252118532,0.233944132,0.22937311,0.232466675,20/06/2006,-0.008347334,-0.075657
0.005653503,0.001780606,-0.001204467,-0.003411082,27/06/2006,0.009517093,0.022881
-0.025865156,-0.034930796,-0.038765441,-0.042385888,4/07/2006,0.007544274,0.022023
0.112267384,0.109319809,0.105845932,0.100728906,11/07/2006,0.009748881,0.047908
-0.003179407,-0.0041753,-0.004967427,-0.005151131,18/07/2006,-0.002185927,0.025331
-0.007197932,-0.0449251,-0.056314037,-0.064902413,25/07/2006,0.005103679,-0.035411
0.01895285,-0.001784852,-0.013834216,-0.020396133,1/08/2006,0.002213229,0.058487
-0.003143388,-0.002906659,-0.004215295,-0.00519827,8/08/2006,0.000989686,0.055111
-0.005820254,-0.00654263,-0.005393427,-0.004288813,15/08/2006,0.008710678,0.045001
-0.125801639,-0.122050033,-0.121020432,-0.11844741,22/08/2006,-0.007884768,-0.086995
-0.018522873,-0.038372456,-0.035598454,-0.032273759,29/08/2006,-0.008431534,0.026715
-0.0326472,-0.019430415,-0.019077916,-0.019549416,5/09/2006,-0.012505112,0.020596
-0.017188888,-0.012003947,-0.015016699,-0.015349338,12/09/2006,-0.009936947,0.043674
-0.012109478,-0.007074215,-0.005188806,-0.005721209,19/09/2006,-0.011387683,-0.036531
-0.009567659,-0.012605969,-0.011580756,-0.010811391,26/09/2006,-0.007196022,-0.028571
-0.028391996,-0.020182182,-0.025956744,-0.032832105,3/10/2006,-0.011800417,0.024792
0.002444027,0.003396243,0.00367672,0.003619597,10/10/2006,0.000140597,0.019791
0.0107204,0.042196508,0.052428535,0.055079153,17/10/2006,-0.002525078,-0.007251
0.028214302,0.029101848,0.034929425,0.037034108,24/10/2006,-0.00215918,-0.052381
0.023766633,0.021411575,0.011362205,0.004827009,31/10/2006,-0.005330502,0.024823
0.002123993,0.001933698,0.001948327,0.001718244,7/11/2006,0.00563275,0.002221
0.008650669,0.006347512,0.005418139,0.005552703,14/11/2006,0.018348039,0.059641
-0.022610711,-0.018000565,-0.009416437,-0.008101611,21/11/2006,-0.003430377,-0.067605
0.08419337,0.069608113,0.060178571,0.056545144,28/11/2006,-0.000711576,0.019586
-0.098630059,-0.078573608,-0.064838652,-0.054502299,5/12/2006,0.005523372,0.046225
0.121539973,0.131200866,0.144282325,0.150637013,12/12/2006,-0.005409139,0.003828
0.012113633,0.008391243,0.004392773,0.001297881,19/12/2006,0.006029691,-0.060563
0.026238663,0.015625804,0.014772151,0.013001239,26/12/2006,0.000601647,0.017948
0.094490368,0.079829147,0.07495938,0.071564035,2/01/2007,-0.01503324,0.046748
0.00218297,0.005921666,0.005264485,0.00524214,9/01/2007,-0.019251828,0.053651
-0.013281448,-0.028369831,-0.032768781,-0.030247641,16/01/2007,0.015920748,0.037088
-0.224303156,-0.233574161,-0.249313113,-0.266079798,23/01/2007,-0.005151789,-0.047782
-0.088185118,-0.082239986,-0.079529242,-0.077027156,30/01/2007,-0.00427901,0.037398
0.001830632,0.002126223,0.002301596,0.002519619,6/02/2007,-0.005449327,-0.00854
